Symptom1,Symptom2,Symptom3,Symptom4,Symptom5,Disease
fever,cough,fatigue,body_pain,headache,influenza
high_fever,muscle_aches,chills,weakness,sore_throat,influenza
mild_fever,dry_cough,tiredness,congestion,throat_pain,influenza
fever,severe_headache,body_aches,chills,nasal_congestion,influenza
high_temperature,persistent_cough,exhaustion,joint_pain,runny_nose,influenza
temperature,hacking_cough,lethargy,muscle_soreness,scratchy_throat,influenza
elevated_temperature,productive_cough,weakness,aching_joints,throat_irritation,influenza
feverish,frequent_cough,tiredness,muscle_pain,hoarse_voice,influenza
high_temperature,chest_cough,exhaustion,body_soreness,throat_discomfort,influenza
low_grade_fever,nagging_cough,fatigue,joint_aches,voice_changes,influenza
burning_fever,harsh_cough,weakness,physical_discomfort,swollen_throat,influenza
intermittent_fever,wet_cough,sluggishness,generalized_pain,tender_throat,influenza
persistent_fever,barking_cough,lethargy,widespread_aches,inflamed_throat,influenza
recurring_fever,dry_hacking_cough,tiredness,muscle_stiffness,raw_throat,influenza
spiking_fever,chest_congestion,exhaustion,body_stiffness,painful_swallowing,influenza
fluctuating_temperature,mucus_cough,weakness,joint_stiffness,difficulty_swallowing,influenza
rising_temperature,phlegm_cough,fatigue,muscular_tension,throat_constriction,influenza
variable_fever,rattling_cough,tiredness,physical_tension,throat_tightness,influenza
unstable_temperature,whooping_cough,lethargy,body_tension,constricted_throat,influenza
changing_fever,spasmodic_cough,exhaustion,muscle_cramps,tight_throat,influenza
fever,body_aches,chills,sweating,malaise,influenza
high_fever,joint_pain,shivering,night_sweats,general_discomfort,influenza
moderate_fever,muscle_pain,cold_sensation,perspiration,overall_weakness,influenza
elevated_fever,bone_pain,teeth_chattering,excessive_sweating,complete_fatigue,influenza
intense_fever,deep_aches,uncontrollable_shaking,profuse_sweating,total_exhaustion,influenza
cough,sore_throat,runny_nose,sneezing,fatigue,common_cold
mild_cough,scratchy_throat,clear_discharge,frequent_sneezing,tiredness,common_cold
dry_cough,throat_irritation,nasal_congestion,sneezing_fits,low_energy,common_cold
persistent_cough,throat_pain,stuffy_nose,continuous_sneezing,weakness,common_cold
light_cough,mild_sore_throat,blocked_nose,occasional_sneezing,slight_fatigue,common_cold
tickling_cough,throat_scratchiness,nasal_blockage,repetitive_sneezing,minimal_energy,common_cold
occasional_cough,throat_roughness,congested_nose,sporadic_sneezing,reduced_energy,common_cold
intermittent_cough,throat_dryness,stuffed_nose,frequent_sneezing,limited_energy,common_cold
sporadic_cough,throat_hoarseness,clogged_nose,persistent_sneezing,decreased_energy,common_cold
infrequent_cough,throat_tenderness,obstructed_nose,constant_sneezing,diminished_energy,common_cold
random_cough,throat_sensitivity,plugged_nose,repeated_sneezing,low_stamina,common_cold
scattered_cough,throat_rawness,closed_nose,multiple_sneezing,poor_stamina,common_cold
irregular_cough,throat_inflammation,sealed_nose,endless_sneezing,weak_stamina,common_cold
unpredictable_cough,throat_swelling,blocked_airways,uncontrollable_sneezing,depleted_energy,common_cold
variable_cough,throat_redness,restricted_breathing,compulsive_sneezing,exhausted_energy,common_cold
changing_cough,throat_soreness,limited_airflow,reflexive_sneezing,drained_energy,common_cold
fluctuating_cough,throat_discomfort,reduced_airflow,involuntary_sneezing,sapped_energy,common_cold
varying_cough,throat_irritation,impaired_breathing,automatic_sneezing,consumed_energy,common_cold
shifting_cough,throat_burning,hindered_breathing,mechanical_sneezing,used_energy,common_cold
alternating_cough,throat_stinging,obstructed_airways,triggered_sneezing,spent_energy,common_cold
soft_cough,mild_throat_pain,slight_congestion,light_sneezing,minor_tiredness,common_cold
gentle_cough,tender_throat,nose_stuffiness,gentle_sneezing,mild_weakness,common_cold
weak_cough,throat_scratchiness,nasal_stuffiness,soft_sneezing,low_energy_levels,common_cold
quiet_cough,throat_tickle,minor_blockage,quiet_sneezing,reduced_stamina,common_cold
subtle_cough,throat_irritation,slight_stuffiness,subtle_sneezing,diminished_vigor,common_cold
fatigue,increased_thirst,frequent_urination,blurred_vision,slow_healing,diabetes
extreme_tiredness,excessive_thirst,constant_urination,cloudy_vision,poor_wound_healing,diabetes
weakness,unquenchable_thirst,frequent_bathroom_trips,foggy_vision,delayed_healing,diabetes
exhaustion,intense_thirst,multiple_urination,hazy_vision,cuts_heal_slowly,diabetes
lethargy,persistent_thirst,excessive_urination,dim_vision,wounds_dont_heal,diabetes
chronic_fatigue,unrelenting_thirst,polyuria,impaired_vision,impaired_healing,diabetes
severe_tiredness,overwhelming_thirst,frequent_peeing,visual_impairment,healing_problems,diabetes
complete_exhaustion,insatiable_thirst,constant_peeing,sight_problems,recovery_issues,diabetes
total_weakness,uncontrollable_thirst,repeated_urination,eye_problems,mending_difficulties,diabetes
profound_fatigue,compulsive_thirst,multiple_bathroom_visits,vision_troubles,repair_complications,diabetes
deep_tiredness,desperate_thirst,frequent_toilet_trips,seeing_difficulties,regeneration_problems,diabetes
ultimate_exhaustion,urgent_thirst,constant_toilet_use,visual_difficulties,restoration_issues,diabetes
maximum_weakness,critical_thirst,repeated_toilet_visits,sight_impairment,healing_delays,diabetes
peak_fatigue,essential_thirst,multiple_toilet_trips,eye_impairment,recovery_delays,diabetes
supreme_tiredness,vital_thirst,frequent_restroom_use,vision_loss,mending_delays,diabetes
ultimate_weakness,crucial_thirst,constant_restroom_visits,partial_blindness,repair_delays,diabetes
maximum_exhaustion,fundamental_thirst,repeated_restroom_trips,limited_vision,regeneration_delays,diabetes
peak_lethargy,primary_thirst,multiple_restroom_use,restricted_sight,restoration_delays,diabetes
supreme_fatigue,basic_thirst,frequent_bathroom_use,reduced_vision,healing_slowness,diabetes
ultimate_tiredness,core_thirst,constant_bathroom_visits,diminished_sight,recovery_slowness,diabetes
drowsiness,excessive_water_need,urination_frequency,vision_problems,wound_healing_issues,diabetes
sluggishness,water_craving,bathroom_urgency,eyesight_issues,cut_recovery_problems,diabetes
weariness,fluid_need,urinary_urgency,visual_clarity_loss,scratch_healing_delay,diabetes
enervation,liquid_craving,bladder_pressure,sight_deterioration,injury_recovery_slowness,diabetes
debilitation,hydration_need,urinary_frequency,optical_problems,tissue_repair_issues,diabetes
shortness_of_breath,chest_pain,fatigue,cough,sweating,pneumonia
difficulty_breathing,sharp_chest_pain,extreme_fatigue,productive_cough,night_sweats,pneumonia
breathlessness,stabbing_chest_pain,weakness,wet_cough,profuse_sweating,pneumonia
labored_breathing,pleuritic_pain,exhaustion,mucus_cough,cold_sweats,pneumonia
rapid_breathing,chest_tightness,severe_fatigue,phlegm_cough,excessive_sweating,pneumonia
troubled_breathing,chest_pressure,overwhelming_fatigue,rattling_cough,heavy_sweating,pneumonia
strained_breathing,chest_discomfort,complete_exhaustion,congested_cough,continuous_sweating,pneumonia
forced_breathing,chest_heaviness,total_weakness,choking_cough,persistent_sweating,pneumonia
harsh_breathing,chest_constriction,maximum_fatigue,gurgling_cough,constant_sweating,pneumonia
rough_breathing,chest_compression,peak_exhaustion,bubbling_cough,uncontrolled_sweating,pneumonia
difficult_respiration,chest_squeezing,ultimate_weakness,foaming_cough,excessive_perspiration,pneumonia
impaired_respiration,chest_crushing,supreme_fatigue,frothy_cough,profuse_perspiration,pneumonia
restricted_respiration,chest_burning,maximum_tiredness,bloody_cough,heavy_perspiration,pneumonia
limited_respiration,chest_aching,peak_weakness,violent_cough,continuous_perspiration,pneumonia
constrained_respiration,chest_throbbing,ultimate_exhaustion,severe_cough,persistent_perspiration,pneumonia
hindered_respiration,chest_pounding,supreme_tiredness,intense_cough,constant_perspiration,pneumonia
obstructed_respiration,chest_stabbing,maximum_lethargy,harsh_cough,uncontrolled_perspiration,pneumonia
blocked_respiration,chest_piercing,peak_lethargy,rough_cough,excessive_moisture,pneumonia
impeded_respiration,chest_cutting,ultimate_lethargy,difficult_cough,profuse_moisture,pneumonia
hampered_respiration,chest_slashing,supreme_weakness,strained_cough,heavy_moisture,pneumonia
gasping,chest_discomfort,tiredness,loose_cough,dampness,pneumonia
panting,thoracic_pain,weariness,slack_cough,humidity,pneumonia
wheezing,lung_pain,sluggishness,sloppy_cough,moistness,pneumonia
struggling_to_breathe,respiratory_pain,lethargy,messy_cough,wetness,pneumonia
oxygen_hunger,breathing_pain,enervation,untidy_cough,sogginess,pneumonia
headache,dizziness,nausea,vomiting,light_sensitivity,migraine
severe_headache,vertigo,queasiness,retching,photophobia,migraine
pounding_headache,spinning_sensation,sickness,throwing_up,bright_light_hurts,migraine
throbbing_headache,lightheadedness,stomach_upset,vomit,cannot_tolerate_light,migraine
intense_headache,balance_problems,nauseous_feeling,frequent_vomiting,light_intolerance,migraine
crushing_headache,unsteadiness,queasy_stomach,continuous_vomiting,light_avoidance,migraine
splitting_headache,wobbly_feeling,sick_stomach,repeated_vomiting,light_fear,migraine
piercing_headache,shaky_balance,upset_stomach,persistent_vomiting,light_discomfort,migraine
stabbing_headache,uneven_balance,disturbed_stomach,constant_vomiting,light_pain,migraine
sharp_headache,poor_balance,unsettled_stomach,frequent_retching,light_hurt,migraine
